"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R211,R227,R203,R236,R185,R204";"R_0603";6;"1k";;;
2;"D6,D10,D12,D8,D9,D1,D13,D7,D16,D15,D14,D4,D3,D2,D5,D11";"D_0805";16;"D_Schottky";;;
3;"R243,R100,R215,R192,R146,R132,R75,R194,R152,R154,R195,R209,R216,R148,R130,R207,R193,R208,R217,R131,R133,R189,R244";"R_0603";23;"100";;;
4;"R173,R114,R164,R161,R110,R174,R163,R122,R109,R175,R115,R125,R123,R176,R162,R124";"R_0603";16;"150";;;
5;"R7,R246,R8,R245,R43,R37";"R_0603";6;"2.7K";;;
6;"C78,C109,C143,CU28_3,CRD0,C2,CU20,CU23,CU10,C154,CU30,CU22,C137,C108,C107,C133,C82,C147,C81,C13,C43,CU8,CU18_1,C141,CU19_0,CU4,C136,CU3,CRP1,CU978,C48,CU28_4,CU1,CU9,CU11,CU2,C77,CU17,C157,C83,CR0,CRP2,CU5,C49,C79,CRB1,CRB0,CR1,CU19_1,CRD1,CU21,CU6,C146,CU14,CU7,CRD3,C44,CU15,CRP0,C14,CRD2,CRP3,C1,CU16";"C_0603_larger";64;"10u";;;
7;"C119,C121,C122,C116,C90,C113,C91,C114,C93,C115,C120,C88,C95,C94,C86,C92";"C_0603";16;"470pF";;;
8;"R18,R17,R32,R15,R33,R16,R41,R42";"R_0603";8;"t10k";;;
9;"R168,R180,R165,R129,R116,R128,R117,R108,R166,R179,R177,R167,R178,R127,R126,R111";"R_0603";16;"t3.6k";;;
10;"C33,C66,C32,C34,C68,C67,C65,C31";"C_0603";8;"10nF 63V";;;
11;"Q3,Q4,Q2";"SOT23-3_PO123";3;"Q_NPN_BCE";;;
12;"C142,CU18_2,C130,C129,C131";"C_1206_pol";5;"33uF 16V";;;
13;"LED3,LED2";"D_0805";2;"fault";;;
14;"U8,U3,U7,U2";"SOIC-8";4;"OPA1642";;;
15;"R34";"R_0603";1;"0";;;
16;"R142,R140,R137,R150,R213,R151,R155,R9,R134,R144,R200,R138,R153,R141,R197,R198,R149,R221,R220,R240,R135,R219,R143,R35,R136,R210,R147,R214,R212,R145,R139,R184,R218,R199,R222";"R_0603";35;"10k";;;
17;"R88,R62,R90,R60,R87,R80,R78,R104,R61,R63,R58,R54,R82,R67,R97,R1,R91,R56,R3,R89,R69,R4,R59,R6,R77,R92,R86,R68,R76,R71,R103,R66,R79,R55,R53,R5,R93,R2,R84,R96,R95,R65,R70,R85,R72,R57,R64,R94,R83,R81,R98,R99";"R_0603";52;"t2k";;;
18;"C69,C74";"C_0805";2;"tbd";;;
19;"R170,R107,R120,R119,R159,R172,R106,R121,R118,R113,R157,R171,R169,R112,R160,R158";"R_0603";16;"t4.32k";;;
20;"R191";"R_0603";1;"330k";;;
21;"R25,R101,R73,R38";"R_0603";4;"30k";;;
22;"R22,R27,R29,R44,R50,R45,R23,R26,R52,R49,R28,R51";"R_0603";12;"3.3";;;
23;"C111,C89,C112,C117,C84,C118,C87,C85";"C_0603";8;"3.9n";;;
24;"D19,D21,D22,D20";"D_SOD-523_bidi";4;"5V";;;
25;"C138,C148,C145";"C_0603";3;"3.3n";;;
26;"C58,C20,C21,C19,C57,C54,C22,C55";"C_0603";8;"33n";;;
27;"U5,U16,U11,U4,U12,U17,U6,U1";"SOIC-8";8;"MC33078";;;
28;"C42,C50,C3,C124,C9,C155,C12,C45,C125";"C_0603";9;"1u";;;
29;"R20,R47,R21,R48";"R_0603";4;"4.7k";;;
30;"R40,R14,R11,R12,R39,R30,R13,R31";"R_0603";8;"t330";;;
31;"R233,R237,R238,R223";"R_0603";4;"t470";;;
32;"R187";"R_0603";1;"12k";;;
33;"C5,C41,C35,C8,C40,C7,C36,C6";"C_0603";8;"4.7n";;;
34;"R182";"R_0603";1;"36k";;;
35;"R190,R224,R232,R225,R231";"R_0603";5;"t18k";;;
36;"R186";"R_0603";1;"475";;;
37;"R229,R226";"R_0603";2;"t560";;;
38;"R235,R230,R234,R228";"R_0603";4;"t4.7k";;;
39;"C126,C144,C156,C73,C71,C123";"C_0603";6;"100n";;;
40;"RV2,RV1";"TC33X-2 trimpot";2;"10k";;;
41;"C76,C72";"C_1206";2;"0.33uF";;;
42;"U26";"ESP32-WROOM-32D";1;"ESP32-WROOM-32D";;;
43;"U21";"K2016_kyocera_xosc";1;"24.576MHz";;;
44;"C28,C61,C27,C62,C63,C64,C30,C29";"CB052D0105KBC film cap";8;"1uF 63V";;;
45;"R36,R24";"R_0603";2;"27k";;;
46;"U9,U14";"QFN-8p8p-5x5mm";2;"AK4454";;;
47;"C70,C75";"C_0805";2;"1nF";;;
48;"R205,R202";"R_0603";2;"t1k";;;
49;"C104";"C_0603_larger";1;"1u";;;
50;"C160,C158,C159,C161";"C_0603";4;"5.6n";;;
51;"U13";"SOT-23-6";1;"MCP6283T-E/CH";;;
52;"D18";"D_0805";1;"blue/white";;;
53;"C139";"C_0603";1;"56n";;;
54;"C51,C11,C52,C10";"C_0603_larger";4;"2.2u";;;
55;"U23";"LMZM23601";1;"LMZM23601";;;
56;"LED1,LED4";"D_0805";2;"clipping";;;
57;"C80";"C_0603_larger";1;"100n";;;
58;"U25";"SOT-23-5";1;"tps3824-50";;;
59;"D17,D23";"D_SOD-323";2;"12Vbr";;;
60;"C140";"C_0603";1;"22p";;;
61;"R183";"R_0603";1;"51k";;;
62;"U15";"SOIC-8";1;"OPA2322";;;
63;"Q1";"SOT23-3_PO123";1;"Q_PNP_BCE";;;
64;"R206,R201";"R_0603";2;"t6.8k";;;
65;"C59,C26,C25,C53,C60,C24,C56,C23";"C_1210_3225Metric";8;"10u 63V";;;
66;"U18,U19";"SOIC-8-ppad";2;"LMR36520";;;
67;"R74,R102";"R_0603";2;"240";;;
68;"R105,R239";"R_0603";2;"10";;;
69;"R188,R181";"R_0603";2;"3k";;;
70;"R46,R19";"R_0603";2;"47k";;;
71;"R242,R241";"R_0603";2;"47M";;;
72;"U29";"qfn_4p4p_3x3mm";1;"max97220";;;
73;"LED5";"D_0805";1;"blink";;;
74;"U10";"SOT-89-3";1;"L78L05_SOT89";;;
75;"D24";"D_SMB";1;"51V (60Vbr)";;;
76;"R10";"R_0603";1;"0.3";;;
77;"L10";"ECS_MPI4040";1;"10uH 3A";;;
78;"U22";"LQFP-48_adi";1;"ADAU1701";;;
79;"LED6";"D_0805";1;"blink2";;;
80;"U27";"texas_R-PVQFN-N16";1;"4040";;;
81;"R156";"R_0603";1;"2k";;;
82;"U30";"TSSOP-8_STM";1;"M24128 (128kbit)";;;
83;"U24";"SOT-223-3_TabPin2";1;"MC33275";;;
84;"CU18_0";"C_0805_2012Metric";1;"2.2uF 100V";;;
85;"R196";"R_0603";1;"1000";;;
